"Dist Code","Year","State Code","State Name","Dist Name","WHEAT YIELD (Kg per ha)"
"7","2006","6","Madhya Pradesh","Jabalpur","2105.0"
"8","2006","6","Madhya Pradesh","Balaghat","759.0"
"9","2006","6","Madhya Pradesh","Chhindwara","1878.0"
"10","2006","6","Madhya Pradesh","Narsinghpur","2863.0"
"11","2006","6","Madhya Pradesh","Seoni","967.0"
"12","2006","6","Madhya Pradesh","Mandla","857.0"
"13","2006","6","Madhya Pradesh","Sagar","1054.0"
"14","2006","6","Madhya Pradesh","Damoh","1270.0"
"15","2006","6","Madhya Pradesh","Tikamgarh","1346.0"
"16","2006","6","Madhya Pradesh","Chhatarpur","1171.0"
"17","2006","6","Madhya Pradesh","Panna","939.0"
"18","2006","6","Madhya Pradesh","Rewa","855.0"
"19","2006","6","Madhya Pradesh","Sidhi","763.0"
"20","2006","6","Madhya Pradesh","Satna","879.0"
"21","2006","6","Madhya Pradesh","Shahdol","775.0"
"22","2006","6","Madhya Pradesh","Gwalior","2150.0"
"23","2006","6","Madhya Pradesh","Shivpuri","1796.0"
"24","2006","6","Madhya Pradesh","Guna","1546.0"
"25","2006","6","Madhya Pradesh","Datia","1735.0"
"26","2006","6","Madhya Pradesh","Morena","2949.0"
"27","2006","6","Madhya Pradesh","Bhind","1846.0"
"28","2006","6","Madhya Pradesh","Indore","2513.0"
"29","2006","6","Madhya Pradesh","Ratlam","2948.0"
"30","2006","6","Madhya Pradesh","Ujjain","2996.0"
"31","2006","6","Madhya Pradesh","Mandsaur","2755.0"
"32","2006","6","Madhya Pradesh","Dewas","2577.0"
"33","2006","6","Madhya Pradesh","Dhar","2318.0"
"34","2006","6","Madhya Pradesh","Jhabua","1836.0"
"35","2006","6","Madhya Pradesh","Khargone","2510.0"
"36","2006","6","Madhya Pradesh","Khandwa","1785.0"
"37","2006","6","Madhya Pradesh","Sehore","2245.0"
"38","2006","6","Madhya Pradesh","Raisen","1745.0"
"39","2006","6","Madhya Pradesh","Vidisha","1666.0"
"40","2006","6","Madhya Pradesh","Betul","1546.0"
"41","2006","6","Madhya Pradesh","Rajgarh","1694.0"
"42","2006","6","Madhya Pradesh","Shajapur","2274.0"
"43","2006","6","Madhya Pradesh","Hoshangabad","2719.0"
"502","2006","6","Madhya Pradesh","Bhopal","1809.0"
"1057","2006","6","Madhya Pradesh","Dindori","556.0"
"1058","2006","6","Madhya Pradesh","Harda","2158.0"
"1060","2006","6","Madhya Pradesh","Barwani","1941.0"
"1061","2006","6","Madhya Pradesh","Katni","736.0"
"1062","2006","6","Madhya Pradesh","Neemuch","2135.0"
"1063","2006","6","Madhya Pradesh","Sheopur Kalan","2227.0"
"1064","2006","6","Madhya Pradesh","Umaria","788.0"
"1071","2006","6","Madhya Pradesh","Anuppur","737.0"
"1081","2006","6","Madhya Pradesh","Ashoknagar","1250.0"
"1082","2006","6","Madhya Pradesh","Burhanpur","2069.0"